"","variance"
"PC1",25.3094528960899
"PC2",15.2418103170868
"PC3",8.05199353252586
"PC4",6.97535834723767
"PC5",3.55253671125828
"PC6",2.91125990941332
"PC7",2.61853325677106
"PC8",2.46065353960728
"PC9",1.86118292214259
"PC10",1.77519937364312
"PC11",1.28053917505709
"PC12",1.21664004896111
"PC13",0.973059184400981
"PC14",0.905219124876166
"PC15",0.886990555807923
"PC16",0.708236544583551
"PC17",0.687733838810089
"PC18",0.629205235736437
"PC19",0.550494981053378
"PC20",0.530347227375543
"PC21",0.493772577044048
"PC22",0.463136441254546
"PC23",0.441810608271729
"PC24",0.42268483806195
"PC25",0.4105174996752
"PC26",0.393792384576939
"PC27",0.379751635360072
"PC28",0.372793898606264
"PC29",0.350080355154175
"PC30",0.338209319472613
"PC31",0.319285195862091
"PC32",0.316060564899811
"PC33",0.299656277645274
"PC34",0.291063485722766
"PC35",0.286349228931336
"PC36",0.280863246304771
"PC37",0.267708826155991
"PC38",0.262289262752473
"PC39",0.25522943352428
"PC40",0.251083936195757
"PC41",0.246883838559671
"PC42",0.23932049577083
"PC43",0.237951410367563
"PC44",0.231020729889559
"PC45",0.222144679388462
"PC46",0.219454723396741
"PC47",0.209508833150139
"PC48",0.202873905856059
"PC49",0.201452019699872
"PC50",0.200051388800101
"PC51",0.196911215636612
"PC52",0.191179795361618
"PC53",0.189778548478632
"PC54",0.18578441787878
"PC55",0.182671953092638
"PC56",0.181282224126439
"PC57",0.179860685879986
"PC58",0.178048048233852
"PC59",0.17623083389304
"PC60",0.171641427169815
"PC61",0.169294667265492
"PC62",0.166772665192957
"PC63",0.162634383302803
"PC64",0.161605683613632
"PC65",0.158250241419328
"PC66",0.154580316548389
"PC67",0.153830844041461
"PC68",0.151402891971872
"PC69",0.14989197182558
"PC70",0.148137649655045
"PC71",0.145096626307665
"PC72",0.142177459592055
"PC73",0.139879686553998
"PC74",0.136731967379087
"PC75",0.134765603761578
"PC76",0.132025686298292
"PC77",0.130345519931729
"PC78",0.129456922802514
"PC79",0.128353996758589
"PC80",0.126060814865863
"PC81",0.123091106539276
"PC82",0.122941696881564
"PC83",0.120307363619555
"PC84",0.119589448453378
"PC85",0.11801196319078
"PC86",0.11722727217928
"PC87",0.116266197542589
"PC88",0.11386699905047
"PC89",0.111255947461409
"PC90",0.110298347934894
"PC91",0.109124244855923
"PC92",0.108422423111834
"PC93",0.106890455994746
"PC94",0.105367667315142
"PC95",0.10445531114312
"PC96",0.102612852370279
"PC97",0.101946886662335
"PC98",0.101599359969474
"PC99",0.10009004491862
"PC100",0.0983142066223611
"PC101",0.0978892023953112
"PC102",0.096547626369769
"PC103",0.095511456126533
"PC104",0.0936501491630996
"PC105",0.093434383191533
"PC106",0.0913918528104391
"PC107",0.0910401794295387
"PC108",0.0881953969611639
"PC109",0.0879907113954684
"PC110",0.0873014711127473
"PC111",0.0865611021850102
"PC112",0.085459870812441
"PC113",0.0833330407242047
"PC114",0.0826422166268601
"PC115",0.0817109273588787
"PC116",0.0810753692417298
"PC117",0.0803752290089885
"PC118",0.0784554644771457
"PC119",0.0771304625409119
"PC120",0.0768560508475906
"PC121",0.0756855735452742
"PC122",0.0746031436307347
"PC123",0.0737676455721581
"PC124",0.07209336034701
"PC125",0.0716866585032101
"PC126",0.0694648915151182
"PC127",0.0683939691487587
"PC128",0.0679771427183681
"PC129",0.065978749443656
"PC130",0.0655237068849698
"PC131",0.0650718992747238
"PC132",0.0642239478204139
"PC133",0.0632034381084176
"PC134",0.061114485975585
"PC135",0.0602263368045204
"PC136",0.0598748037945688
"PC137",0.0584222934837349
"PC138",0.0565799276447356
"PC139",0.0556888877120667
"PC140",0.0549078284987522
"PC141",0.0545452489779908
"PC142",0.0538105625655313
"PC143",0.0525560342292157
"PC144",0.0522390161882241
"PC145",0.0513694477973561
"PC146",0.050657341549748
"PC147",0.0488066468879887
"PC148",0.0483449640964607
"PC149",0.0478676646920671
"PC150",0.0469873459085799
"PC151",0.0460358357076505
"PC152",0.0452968696036312
"PC153",0.0440959504099087
"PC154",0.0435201299284843
"PC155",0.0423200165169651
"PC156",0.0419752169218189
"PC157",0.0414212360075332
"PC158",0.0404735199134664
"PC159",0.0397595956832908
"PC160",0.0393066397114801
"PC161",0.0372979027760371
"PC162",0.0371365517428551
"PC163",0.0365609450602384
"PC164",0.0358682890719149
"PC165",0.0358365359397726
"PC166",0.0349243001368484
"PC167",0.0339684183163525
"PC168",0.0338369013415463
"PC169",0.0326108832091032
"PC170",0.0324122495267282
"PC171",0.0308200496611307
"PC172",0.0305160754601468
"PC173",0.029784295234313
"PC174",0.0289194388277061
"PC175",0.0288987005838371
"PC176",0.0274425617632797
"PC177",0.0272521641481868
"PC178",0.0267640669420368
"PC179",0.0256306410821561
"PC180",0.0251664164597082
"PC181",0.0243145296515253
"PC182",0.0236919309041276
"PC183",0.0233358455689228
"PC184",0.022288799943151
"PC185",0.0216711680271794
"PC186",0.0215081563783931
"PC187",0.0202158989074215
"PC188",0.0199787986321842
"PC189",0.0193050407540178
"PC190",1.22519819805039e-30
